date,closing,adjusted,evolution,quantity,volume
13/01/2023,215.0,215.0,0.0,3428.0,742280.4
12/01/2023,215.0,215.0,4.88,16859.0,3553199.85
10/01/2023,205.0,205.0,4.03,24880.0,5058099.5
09/01/2023,197.05,197.05,1.26,18577.0,3689281.55
06/01/2023,194.6,194.6,-5.99,74525.0,14511149.8
05/01/2023,207.0,207.0,-5.91,12245.0,2618064.0
04/01/2023,220.0,220.0,-2.18,36954.0,8192001.1
03/01/2023,224.9,224.9,-0.93,7149.0,1608327.15
02/01/2023,227.0,227.0,-1.73,16368.0,3715551.5
30/12/2022,231.0,231.0,-3.35,293330.0,67770083.0
29/12/2022,239.0,239.0,1.7,204557.0,48866338.0
28/12/2022,235.0,235.0,2.17,132011.0,31216890.0
27/12/2022,230.0,230.0,-2.09,131088.0,30176370.05
26/12/2022,234.9,234.9,1.69,124225.0,29180452.5
23/12/2022,231.0,231.0,-0.43,109840.0,25412830.0
22/12/2022,232.0,232.0,-0.43,128203.0,29607867.8
21/12/2022,233.0,233.0,2.64,66243.0,15283121.5
20/12/2022,227.0,227.0,-1.3,11533.0,2622345.9
19/12/2022,230.0,230.0,0.66,200.0,46000.0
16/12/2022,228.5,228.5,-1.51,69984.0,15995864.4
15/12/2022,232.0,232.0,-0.41,40512.0,9384175.85
14/12/2022,232.95,232.95,-0.02,14290.0,3299777.15
13/12/2022,233.0,233.0,0.0,17759.0,4138277.7
12/12/2022,233.0,233.0,0.43,17994.0,4175124.9
09/12/2022,232.0,232.0,-0.41,2074.0,481718.35
08/12/2022,232.95,232.95,-0.02,2670.0,620708.25
07/12/2022,233.0,233.0,-0.43,3913.0,905664.5
06/12/2022,234.0,234.0,1.08,25158.0,5795715.8
05/12/2022,231.5,231.5,0.7,33237.0,7665791.0
02/12/2022,229.9,229.9,0.02,6804.0,1564189.75
01/12/2022,229.85,229.85,1.26,8611.0,1970176.55
30/11/2022,227.0,227.0,-1.3,45637.0,10364771.35
29/11/2022,230.0,230.0,0.88,9572.0,2203409.0
28/11/2022,228.0,228.0,-0.87,3898.0,895824.6
25/11/2022,230.0,230.0,0.0,59502.0,13680919.6
24/11/2022,230.0,230.0,0.0,888.0,204240.0
23/11/2022,230.0,230.0,1.34,6048.0,1389977.7
22/11/2022,226.95,226.95,0.02,5298.0,1214158.7
21/11/2022,226.9,226.9,-0.04,6954.0,1577966.1
17/11/2022,227.0,227.0,3.16,29863.0,6715967.0
16/11/2022,220.05,220.05,0.02,18464.0,4094954.3
15/11/2022,220.0,220.0,0.96,23515.0,5175011.1
14/11/2022,217.9,217.9,3.76,14221.0,3029270.8
11/11/2022,210.0,210.0,-2.33,56252.0,11865914.5
10/11/2022,215.0,215.0,-1.38,65062.0,14022710.1
09/11/2022,218.0,218.0,-0.91,38309.0,8393543.95
08/11/2022,220.0,220.0,-0.45,40582.0,8922205.0
07/11/2022,221.0,221.0,0.55,15825.0,3469403.2
04/11/2022,219.8,219.8,-0.09,36847.0,8102890.2
03/11/2022,220.0,220.0,0.0,11648.0,2562561.5
02/11/2022,220.0,220.0,0.0,41200.0,9064050.0
01/11/2022,220.0,220.0,0.0,25134.0,5529480.0
31/10/2022,220.0,220.0,0.0,30990.0,6817800.0
28/10/2022,220.0,220.0,-0.9,9024.0,1985280.0
27/10/2022,222.0,222.0,3.26,9959.0,2210180.2
26/10/2022,215.0,215.0,-4.02,55071.0,11843855.1
25/10/2022,224.0,224.0,0.04,4577.0,1027602.0
24/10/2022,223.9,223.9,0.0,1864.0,417349.6
21/10/2022,223.9,223.9,-0.04,9191.0,2059274.45
20/10/2022,224.0,224.0,-4.68,48372.0,10873347.0
19/10/2022,235.0,235.0,0.0,2550.0,599250.0
18/10/2022,235.0,235.0,0.0,2559.0,601365.0
17/10/2022,235.0,235.0,-0.8,49077.0,11382003.0
14/10/2022,236.9,236.9,-1.29,32727.0,7756072.35
13/10/2022,240.0,240.0,0.0,96869.0,23237821.8
12/10/2022,240.0,240.0,-2.04,5855.0,1405233.15
11/10/2022,245.0,245.0,1.24,6685.0,1630103.8
07/10/2022,242.0,242.0,-0.82,7018.0,1693603.7
06/10/2022,244.0,244.0,0.41,10250.0,2491000.0
05/10/2022,243.0,243.0,0.0,22086.0,5278951.35
04/10/2022,243.0,243.0,1.25,1294.0,314184.6
03/10/2022,240.0,240.0,-1.23,2577.0,622960.0
30/09/2022,243.0,243.0,0.41,264060.0,63733181.55
29/09/2022,242.0,242.0,-1.22,184542.0,44454311.5
28/09/2022,245.0,245.0,-3.52,17907.0,4390562.5
27/09/2022,253.95,253.95,-0.76,7929.0,2019932.05
26/09/2022,255.9,255.9,-0.04,5300.0,1356770.0
23/09/2022,256.0,256.0,0.0,11457.0,2932967.0
22/09/2022,256.0,256.0,-0.76,6887.0,1765325.4
21/09/2022,257.95,257.95,0.57,10524.0,2700544.0
20/09/2022,256.5,256.5,0.0,4589.0,1175979.9
19/09/2022,256.5,256.5,0.0,6776.0,1738056.0
16/09/2022,256.5,256.5,0.2,28117.0,7210385.1
15/09/2022,256.0,256.0,0.0,281.0,71936.0
14/09/2022,256.0,256.0,0.0,7471.0,1912686.7
13/09/2022,256.0,256.0,-0.31,27235.0,6971948.5
