date,closing,adjusted,evolution,quantity,volume
30/12/2022,392.0,392.0,-0.76,72489.0,28422303.05
29/12/2022,395.0,395.0,-0.5,35947.0,14191684.25
28/12/2022,397.0,397.0,0.0,2336.0,922850.65
27/12/2022,397.0,397.0,-0.75,27378.0,10753859.5
26/12/2022,400.0,400.0,0.0,162.0,64800.0
23/12/2022,400.0,400.0,1.27,32088.0,12785191.6
22/12/2022,395.0,395.0,1.02,1865.0,736692.7
21/12/2022,391.0,391.0,0.26,712.0,277912.0
20/12/2022,390.0,390.0,-2.5,55000.0,22154303.2
19/12/2022,400.0,400.0,-0.49,6.0,2394.0
16/12/2022,401.95,401.95,-1.96,24439.0,9831269.15
15/12/2022,410.0,410.0,0.0,32766.0,13429870.0
14/12/2022,410.0,410.0,0.05,55826.0,22884347.1
13/12/2022,409.8,409.8,-0.02,254016.0,103904674.75
12/12/2022,409.9,409.9,0.0,13976.0,5729925.25
09/12/2022,409.9,409.9,-0.01,20583.0,8438269.4
08/12/2022,409.95,409.95,-0.01,862558.0,353604135.45
07/12/2022,410.0,410.0,0.0,192808.0,79051251.5
06/12/2022,410.0,410.0,0.0,41055.0,16832832.0
05/12/2022,410.0,410.0,0.0,2075.0,850220.85
02/12/2022,410.0,410.0,0.0,15511.0,6359348.3
01/12/2022,410.0,410.0,1.74,16537.0,6781578.3
30/11/2022,403.0,403.0,-1.47,62881.0,25385455.15
29/11/2022,409.0,409.0,-0.24,19363.0,7927594.65
28/11/2022,410.0,410.0,0.01,26033.0,10676550.0
25/11/2022,409.95,409.95,1.72,6136.0,2509855.0
24/11/2022,403.0,403.0,-0.49,6697.0,2705352.2
23/11/2022,405.0,405.0,0.37,5775.0,2337065.85
22/11/2022,403.5,403.5,0.62,6579.0,2653133.3
21/11/2022,401.0,401.0,-0.99,30762.0,12368395.0
17/11/2022,405.0,405.0,3.85,44065.0,17638015.25
16/11/2022,390.0,390.0,1.8,25203.0,9773977.45
15/11/2022,383.1,383.1,1.35,37844.0,14399072.4
14/11/2022,378.0,378.0,1.34,9657.0,3626656.6
11/11/2022,373.0,373.0,0.27,150153.0,55764932.8
10/11/2022,372.0,372.0,-3.88,58537.0,22213733.9
09/11/2022,387.0,387.0,-0.21,46051.0,17886787.0
08/11/2022,387.8,387.8,-0.55,20028.0,7796293.1
07/11/2022,389.95,389.95,0.5,29622.0,11552730.35
04/11/2022,388.0,388.0,-0.51,29869.0,11638408.95
03/11/2022,390.0,390.0,0.0,2903.0,1132367.2
02/11/2022,390.0,390.0,0.0,4411.0,1721205.9
01/11/2022,390.0,390.0,1.3,19185.0,7481276.75
